Airport,Lat,Lon
BOS,42.365613,-71.009560
DEN,39.878664,-104.682105
DFW,32.899809,-97.040335
EWR,40.689531,-74.174462
IAH,29.990219,-95.336782
JFK,40.641311,-73.778139
LGA,40.776927,-73.873965
ORD,41.987770,-87.882901
PHL,39.877222,-75.241388
SFO,37.615223,-122.389977
